[ 2025-05-05 12:11:30,776 ] 19 root - INFO - Initiate the data ingestion
[ 2025-05-05 12:11:34,251 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-05 12:11:34,251 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-05 12:11:34,252 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-05 12:11:34,308 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-05 12:11:34,313 ] 21 root - INFO - Data Initiation Completed
[ 2025-05-05 12:11:34,331 ] 25 root - INFO - Initiate the data Validation
[ 2025-05-05 12:11:34,443 ] 32 root - INFO - Required number of columns:2
[ 2025-05-05 12:11:34,443 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-05 12:11:34,443 ] 32 root - INFO - Required number of columns:2
[ 2025-05-05 12:11:34,443 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-05 12:11:34,586 ] 27 root - INFO - data Validation Completed
[ 2025-05-05 12:11:34,586 ] 30 root - INFO - data Transformation started
[ 2025-05-05 12:11:34,586 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-05 12:11:34,586 ] 65 root - INFO - Starting data transformation
[ 2025-05-05 12:11:34,623 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-05 12:11:34,623 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-05 12:11:34,684 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:11:34,684 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:11:34,684 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:11:34,694 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:11:34,694 ] 34 root - INFO - data Transformation completed
[ 2025-05-05 12:11:34,694 ] 36 root - INFO - Model Training sstared
