[ 2025-05-05 12:29:59,485 ] 19 root - INFO - Initiate the data ingestion
[ 2025-05-05 12:30:02,631 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-05 12:30:02,633 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-05 12:30:02,633 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-05 12:30:02,715 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-05 12:30:02,715 ] 21 root - INFO - Data Initiation Completed
[ 2025-05-05 12:30:02,770 ] 25 root - INFO - Initiate the data Validation
[ 2025-05-05 12:30:02,901 ] 32 root - INFO - Required number of columns:2
[ 2025-05-05 12:30:02,901 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-05 12:30:02,901 ] 32 root - INFO - Required number of columns:2
[ 2025-05-05 12:30:02,901 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-05 12:30:03,163 ] 27 root - INFO - data Validation Completed
[ 2025-05-05 12:30:03,164 ] 30 root - INFO - data Transformation started
[ 2025-05-05 12:30:03,164 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-05 12:30:03,165 ] 65 root - INFO - Starting data transformation
[ 2025-05-05 12:30:03,205 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-05 12:30:03,206 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-05 12:30:03,233 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:30:03,241 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:30:03,241 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:30:03,247 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:30:03,251 ] 34 root - INFO - data Transformation completed
[ 2025-05-05 12:30:03,251 ] 36 root - INFO - Model Training sstared
[ 2025-05-05 12:36:08,190 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:36:08,193 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:36:08,193 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-05 12:36:08,234 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-05 12:36:08,234 ] 107 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_05_2025_12_29_42\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911093150131339, precision_score=0.9903089036947305, recall_score=0.9919110212335692), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9775234981610135, precision_score=0.968421052631579, recall_score=0.9867986798679867))
[ 2025-05-05 12:36:08,238 ] 41 root - INFO - Model Training artifact created
