[ 2025-05-03 21:20:34,792 ] 19 root - INFO - Initiate the data ingestion
[ 2025-05-03 21:20:42,459 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-03 21:20:42,459 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-03 21:20:42,459 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-03 21:20:42,655 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-03 21:20:42,655 ] 21 root - INFO - Data Initiation Completed
[ 2025-05-03 21:20:42,719 ] 25 root - INFO - Initiate the data Validation
[ 2025-05-03 21:20:42,962 ] 32 root - INFO - Required number of columns:2
[ 2025-05-03 21:20:42,964 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-03 21:20:42,964 ] 32 root - INFO - Required number of columns:2
[ 2025-05-03 21:20:42,964 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-03 21:20:43,668 ] 27 root - INFO - data Validation Completed
[ 2025-05-03 21:20:43,671 ] 30 root - INFO - data Transformation started
[ 2025-05-03 21:20:43,671 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-03 21:20:43,673 ] 65 root - INFO - Starting data transformation
[ 2025-05-03 21:20:43,867 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-03 21:20:43,868 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-03 21:20:43,955 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-03 21:20:43,976 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-03 21:20:43,976 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-03 21:20:43,994 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-03 21:20:44,003 ] 34 root - INFO - data Transformation completed
[ 2025-05-03 21:20:44,003 ] 36 root - INFO - Model Training sstared
